BOOKING CODE;TICKET NUMBER;PASSENGER TYPE;TRIP DATE;TRAIN CODE;STAMFFORM CODE;CLASS;SEAT;ROUTE
GA18598053;9152673;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;007A;Halim—Tegalluar
GA51539189;9061945;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;008F;Halim—Tegalluar
GA51235847;9049021;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;012A;Halim—Tegalluar
GA51235847;9049022;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;012B;Halim—Tegalluar
GA91583590;9093326;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;012F;Halim—Tegalluar
GA16919553;9339314;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;013A;Halim—Tegalluar
GA35751593;9012213;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;013D;Halim—Tegalluar
GA33881546;9092735;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;013F;Halim—Tegalluar
GA51539675;9411694;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;014D;Halim—Tegalluar
GA18719553;9206063;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;010A;Karawang—Padalarang
GA18719553;9206064;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;010B;Karawang—Padalarang
GA15343915;9012204;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;004F;Halim—Karawang
GA13518581;9231847;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;006A;Halim—Karawang
GA53508551;9231755;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;006F;Halim—Karawang
GA33508571;9054961;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;010F;Halim—Karawang
GA83137551;9231823;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;017D;Halim—Karawang
GA33377141;9172084;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;001D;Halim—Padalarang
GA33377141;9172085;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;001F;Halim—Padalarang
GA35331599;9232133;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;002A;Halim—Padalarang
GA91583572;9231908;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;002C;Halim—Padalarang
GA33377141;9172086;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;002D;Halim—Padalarang
GA33377141;9172087;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;002F;Halim—Padalarang
GA93811551;9232049;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;004B;Halim—Padalarang
GA93811551;9232050;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;004C;Halim—Padalarang
GA59779513;9231517;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;005F;Halim—Padalarang
GA91453555;9232165;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;006C;Halim—Padalarang
GA91923355;9232039;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;007A;Halim—Padalarang
GA43519541;9232120;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;007C;Halim—Padalarang
GA05371915;9232017;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;008F;Halim—Padalarang
GA63526551;9230913;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;009F;Halim—Padalarang
GA93073551;9411680;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;010C;Halim—Padalarang
GA51735392;9044889;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;011A;Halim—Padalarang
GA41783653;9240858;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;011F;Halim—Padalarang
GA51593539;9239396;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;012A;Halim—Padalarang
GA51035696;9049711;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;012C;Halim—Padalarang
GA51135974;9231285;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;012F;Halim—Padalarang
GA21593578;9044896;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;013A;Halim—Padalarang
GA51135974;9231286;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;013D;Halim—Padalarang
GA51135974;9231287;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;013F;Halim—Padalarang
GA81593536;9239397;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;014C;Halim—Padalarang
GA93280551;9231954;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;015A;Halim—Padalarang
GA93280551;9231955;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;015B;Halim—Padalarang
GA35551595;9093341;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;015C;Halim—Padalarang
GA41537696;9226590;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;015D;Halim—Padalarang
GA41537696;9226591;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;015F;Halim—Padalarang
GA91803754;9231880;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;016A;Halim—Padalarang
GA43529531;9232229;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;016C;Halim—Padalarang
GA18269553;9093344;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;016D;Halim—Padalarang
GA19559131;9231982;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;016F;Halim—Padalarang
GA51635591;9231998;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;017A;Halim—Padalarang
GA88155513;9231853;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;018A;Halim—Padalarang
GA35281595;9012202;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;018C;Halim—Padalarang
GA13552028;9231830;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;018D;Halim—Padalarang
GA13552028;9231827;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;018F;Halim—Padalarang
GA81473455;9044883;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;001A;Halim—Tegalluar
GA81473455;9044884;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;001B;Halim—Tegalluar
GA13559122;9012199;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;003A;Halim—Tegalluar
GA66795135;9339321;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;003B;Halim—Tegalluar
GA65691953;9339322;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;003C;Halim—Tegalluar
GA65961953;9012210;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;004A;Halim—Tegalluar
GA23509571;9239406;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;004D;Halim—Tegalluar
GA19552732;9049020;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;005A;Halim—Tegalluar
GA35691590;9012207;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;005C;Halim—Tegalluar
GA63538511;9339284;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;007F;Halim—Tegalluar
GA51435692;9093333;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;008A;Halim—Tegalluar
GA93190551;9231971;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;009A;Halim—Tegalluar
GA14669553;9093345;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;009D;Halim—Tegalluar
GA89517355;9093343;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;010A;Halim—Tegalluar
GA77595135;9411697;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;011C;Halim—Tegalluar
GA19185543;9411675;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;014A;Halim—Tegalluar
GA51539765;9061949;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;014F;Halim—Tegalluar
GA41539883;9205794;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;004F;Karawang—Padalarang
GA12525413;9047619;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;006A;Karawang—Padalarang
GA35271596;9047618;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;017C;Karawang—Padalarang
GA13550149;9152974;Gold Silver;04/09/2026;G1043;03;Premium Economy Class;003F;Karawang—Tegalluar
GA51539396;9010962;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;006F;Karawang—Tegalluar
GA35821586;9206053;Full price ticket;04/09/2026;G1043;03;Premium Economy Class;017F;Karawang—Tegalluar
GA43559101;9232102;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;007F;Halim—Karawang
GA58155543;9231750;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;001A;Halim—Padalarang
GA51335495;9052818;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;001C;Halim—Padalarang
GA31520865;9231515;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;001D;Halim—Padalarang
GA71593555;9054968;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;001F;Halim—Padalarang
GA31506825;9231784;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;002B;Halim—Padalarang
GA19439553;9093337;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;002D;Halim—Padalarang
GA31504935;9232105;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;003A;Halim—Padalarang
GA19551832;9232052;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;003C;Halim—Padalarang
GA79518355;9012206;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;004C;Halim—Padalarang
GA17415153;9231226;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;005A;Halim—Padalarang
GA17415153;9231227;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;005B;Halim—Padalarang
GA49135563;9054967;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;005D;Halim—Padalarang
GA83317551;9231831;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;005F;Halim—Padalarang
GA19553731;9232002;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;006A;Halim—Padalarang
GA35711597;9012215;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;008D;Halim—Padalarang
GA75310915;9231940;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;008F;Halim—Padalarang
GA93795135;9411684;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;009A;Halim—Padalarang
GA35261588;9231635;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;009F;Halim—Padalarang
GA85861853;9231881;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;010A;Halim—Padalarang
GA85861853;9231882;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;010B;Halim—Padalarang
GA85861853;9231883;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;010C;Halim—Padalarang
GA85861853;9231884;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;010D;Halim—Padalarang
GA85861853;9231885;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;010F;Halim—Padalarang
GA39155553;9411682;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;011C;Halim—Padalarang
GA51538766;9231832;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;011F;Halim—Padalarang
GA68516395;9231933;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;012A;Halim—Padalarang
GA68516395;9231934;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;012B;Halim—Padalarang
GA55321915;9231987;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;012F;Halim—Padalarang
GA23549531;9028966;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;013A;Halim—Padalarang
GA51435197;9411695;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;013D;Halim—Padalarang
GA35941574;9049025;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;014B;Halim—Padalarang
GA35941574;9049024;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;014C;Halim—Padalarang
GA35941574;9049023;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;014D;Halim—Padalarang
GA35911586;9093325;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;014F;Halim—Padalarang
GA51539639;9339319;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;015D;Halim—Padalarang
GA31355355;9089253;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;015F;Halim—Padalarang
GA69518365;9239404;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;016B;Halim—Padalarang
GA03599501;9231942;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;016C;Halim—Padalarang
GA73039551;9231452;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;016D;Halim—Padalarang
GA73039551;9231453;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;016F;Halim—Padalarang
GA93721551;9411676;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;002A;Halim—Tegalluar
GA13530518;9222087;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;002F;Halim—Tegalluar
GA18377553;9231380;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;003D;Halim—Tegalluar
GA18377553;9231381;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;003F;Halim—Tegalluar
GA49195503;9411685;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;004A;Halim—Tegalluar
GA18377553;9231382;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;004D;Halim—Tegalluar
GA18377553;9231383;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;004F;Halim—Tegalluar
GA12698553;9231927;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;006F;Halim—Tegalluar
GA93910551;9339309;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;008A;Halim—Tegalluar
GA93082551;9411678;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;014A;Halim—Tegalluar
GA41414352;9337706;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;015A;Halim—Tegalluar
GA91593175;9212490;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;015C;Halim—Tegalluar
GA46615113;9047346;Gold Silver;04/09/2026;G1043;04;Premium Economy Class;013F;Karawang—Padalarang
GA17378553;9206050;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;007A;Karawang—Tegalluar
GA85771853;9206054;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;007F;Karawang—Tegalluar
GA39145563;9206075;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;011A;Karawang—Tegalluar
GA39145563;9206076;Full price ticket;04/09/2026;G1043;04;Premium Economy Class;011B;Karawang—Tegalluar
GA18315153;9231664;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;008A;Halim—Karawang
GA25185130;9231510;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;009B;Halim—Karawang
GA39975135;9231503;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;009F;Halim—Karawang
GA59135553;9232170;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;011A;Halim—Karawang
GA59135553;9232171;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;011B;Halim—Karawang
GA15325915;9232157;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;011F;Halim—Karawang
GA31383955;9229603;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;012F;Halim—Karawang
GA93462103;9091339;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;001A;Halim—Padalarang
GA15362815;9231626;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;001D;Halim—Padalarang
GA91713655;9093330;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;001F;Halim—Padalarang
GA03579521;9232061;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;002A;Halim—Padalarang
GA19553533;9232083;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;002C;Halim—Padalarang
GA93622551;9232043;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;002F;Halim—Padalarang
GA19555135;9232151;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;004A;Halim—Padalarang
GA61593538;9044890;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;004B;Halim—Padalarang
GA15334915;9232109;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;004D;Halim—Padalarang
GA35791571;9231756;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;004F;Halim—Padalarang
GA93352551;9093332;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;005A;Halim—Padalarang
GA48885135;9231887;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;005D;Halim—Padalarang
GA48885135;9231888;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;005F;Halim—Padalarang
GA51734483;9226929;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;006A;Halim—Padalarang
GA51734483;9226930;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;006B;Halim—Padalarang
GA51734483;9226931;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;006C;Halim—Padalarang
GA85681853;9231915;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;006D;Halim—Padalarang
GA53019551;9012200;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;006F;Halim—Padalarang
GA93361551;9231994;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;008F;Halim—Padalarang
GA59115573;9411690;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;009A;Halim—Padalarang
GA83955189;9231939;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;012B;Halim—Padalarang
GA35451596;9012205;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;013C;Halim—Padalarang
GA98145513;9231914;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;013D;Halim—Padalarang
GA91233955;9232169;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;013F;Halim—Padalarang
GA35391584;9231666;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;014A;Halim—Padalarang
GA35391584;9231667;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;014C;Halim—Padalarang
GA35391584;9231668;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;014D;Halim—Padalarang
GA35391584;9231669;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;015A;Halim—Padalarang
GA45314815;9231693;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;015B;Halim—Padalarang
GA35391584;9231670;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;015C;Halim—Padalarang
GA51735950;9230180;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;015D;Halim—Padalarang
GA51735950;9230181;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;015F;Halim—Padalarang
GA51035993;9232113;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;001C;Halim—Tegalluar
GA31521855;9231566;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;002D;Halim—Tegalluar
GA31533735;9231200;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;003A;Halim—Tegalluar
GA99519325;9232068;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;003D;Halim—Tegalluar
GA43542163;9224069;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;003F;Halim—Tegalluar
GA24312354;9224037;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;007A;Halim—Tegalluar
GA24312354;9224038;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;007B;Halim—Tegalluar
GA24312354;9224039;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;007C;Halim—Tegalluar
GA40528013;9203189;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;007F;Halim—Tegalluar
GA29125593;9072394;Full price ticket;04/09/2026;G1043;05;Premium Economy Class;010A;Halim—Tegalluar
GA39661409;9134980;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;013A;Halim—Tegalluar
GA51635393;9411681;Gold Silver;04/09/2026;G1043;05;Premium Economy Class;014F;Halim—Tegalluar
